scenario,strategy,metric,mean,median,std,p95,p99,ci95_lo,ci95_hi,n
E1,DB,p95,7.4129336666666665,7.0575,0.8416140396062394,8.2423086,8.34762492,5.32224849216818,9.503618841165153,3
E1,DB,p99,8.305880333333333,8.120737,0.9828369393283573,9.2433835,9.3431743,5.864378027876745,10.74738263878992,3
E1,DB,throughput,199.99158818918727,199.99127213491525,0.0009880414462690636,199.99255324344608,199.99266711975991,199.98913375816986,199.99404262020468,3
E1,KAFKA,p95,1.578979333333333,1.432472,0.2777656276005606,1.8526414999999998,1.8899899,0.888971262791333,2.2689874038753333,3
E1,KAFKA,p99,1.8998503333333332,1.650461,0.4524266757103669,2.3449289,2.4066593800000002,0.7759601664133016,3.023740500253365,3
E1,KAFKA,throughput,200.0081003830263,200.00818659289965,0.000994470441296894,200.00896270710842,200.0090316950381,200.00562998149988,200.0105707845527,3
E1,OUTBOX,p95,5.491181999999999,5.327541,0.3652467969975916,5.8514256,5.89799312,4.583858657493509,6.39850534250649,3
E1,OUTBOX,p99,6.257282666666666,6.108361,0.41995447653565177,6.6690997,6.71894314,5.214057914299012,7.30050741903432,3
E1,OUTBOX,throughput,200.00020265767304,200.00007620367876,0.0008000103498713537,200.0009601480316,200.00103872086294,199.99821532179317,200.00218999355292,3
E1,PAYLOAD_HASH,p95,8.75320785,8.220766549999999,0.9806282654653182,9.718471355,9.851600671,6.317192194579478,11.189223505420523,3
E1,PAYLOAD_HASH,p99,10.871017813333333,10.445276,1.065298512668344,11.9195408,12.050586560000001,8.224669603775158,13.517366022891508,3
E1,PAYLOAD_HASH,throughput,199.9954901480171,199.9929746467866,0.008466671811176104,200.00373402132217,200.0046904101698,199.9744577692782,200.016522526756,3
E1,REDIS,p95,8.928714083333332,8.86341525,0.5539724419032691,9.447539325,9.499461465,7.552570249148056,10.304857917518609,3
E1,REDIS,p99,9.899159133333335,9.934870400000005,0.6558740632205644,10.47629024,10.524416448,8.269877638748401,11.528440627918268,3
E1,REDIS,throughput,199.99110805514442,199.99029028474908,0.00354190577955897,199.99451761650948,199.9948933793326,199.98230947342606,199.9999066368628,3
E1,ZK,p95,32.86289433333334,32.253359,2.1257106476567635,34.9294442,35.16731844,27.58233634928539,38.14345231738128,3
E1,ZK,p99,37.66926266666667,36.922067,1.8391358922592769,39.480165799999995,39.707552359999994,33.10059583972842,42.237929493604916,3
E1,ZK,throughput,199.92583594935,199.92671620830137,0.009680718439736157,199.934213449416,199.93487987084842,199.9017877115973,199.94988418710267,3
E2,DB,logical_ops,1226.6666666666667,1116.0,193.41492531170735,1416.6,1443.32,746.1973566904352,1707.1359766428982,3
E2,DB,p99,107.34907030000001,102.87659088000004,16.57172516836997,123.41588679900002,125.24160199180002,66.18262286100023,148.5155177389998,3
E2,DB,side_effects_total,1226.6666666666667,1116.0,193.41492531170735,1416.6,1443.32,746.1973566904352,1707.1359766428982,3
E2,DB,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E2,KAFKA,logical_ops,66.66666666666667,0.0,115.47005383792515,179.99999999999997,196.0,0.0,353.5101819797428,3
E2,KAFKA,p99,22.159948680000014,23.35343665,3.558603616543912,24.806902936000025,24.936099939200027,13.319887235081719,31.000010124918308,3
E2,KAFKA,side_effects_total,66.66666666666667,0.0,115.47005383792515,179.99999999999997,196.0,0.0,353.5101819797428,3
E2,KAFKA,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E2,OUTBOX,logical_ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E2,OUTBOX,p99,144.62339563333336,139.02275947,14.950546115959746,159.31133304700003,161.11476180940002,107.48418021587557,181.76261105079115,3
E2,OUTBOX,side_effects_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E2,OUTBOX,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E2,PAYLOAD_HASH,logical_ops,1239.3333333333333,1158.0,185.86374937930563,1422.6,1446.12,777.6221842586099,1701.0444824080566,3
E2,PAYLOAD_HASH,p99,114.59578862000002,101.50022666000004,42.641693637845144,156.17453123000004,161.03446941400003,8.667949362637472,220.52362787736257,3
E2,PAYLOAD_HASH,side_effects_total,1239.3333333333333,1158.0,185.86374937930563,1422.6,1446.12,777.6221842586099,1701.0444824080566,3
E2,PAYLOAD_HASH,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E2,REDIS,logical_ops,200.0,200.0,0.0,200.0,200.0,200.0,200.0,3
E2,REDIS,p99,79.87722756333335,74.8876848,11.185711621446146,90.90921658200003,92.33335274040003,52.09037949207939,107.6640756345873,3
E2,REDIS,side_effects_total,200.0,200.0,0.0,200.0,200.0,200.0,200.0,3
E2,REDIS,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E2,ZK,logical_ops,200.0,200.0,0.0,200.0,200.0,200.0,200.0,3
E2,ZK,p99,192.64356897666667,190.05683695,7.3116871964067585,199.812975793,200.6801881346,174.4803310757757,210.80680687755765,3
E2,ZK,side_effects_total,200.0,200.0,0.0,200.0,200.0,200.0,200.0,3
E2,ZK,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E3,DB,p99,1603.1657785616667,616.966895,2013.5209514421638,5449.747525972,5451.7257319784,601.8653661690664,2604.466190954267,18
E3,DB,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
E3,KAFKA,p99,1.8047609966666665,1.8100105,0.10683683278814736,1.9286348499999997,2.06056777,1.751632289635895,1.857889703697438,18
E3,KAFKA,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
E3,OUTBOX,p99,4578.04054167389,3594.9492431999997,4423.044461973762,10000.605135299,10000.6126078598,2378.512277201125,6777.568806146655,18
E3,OUTBOX,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
E3,PAYLOAD_HASH,p99,1724.7033925905548,631.846278,2201.014966256221,5896.025232137493,6370.9280312275,630.1644001772231,2819.2423850038867,18
E3,PAYLOAD_HASH,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
E3,REDIS,p99,1030.9245322155557,439.1530111150006,1224.52257269619,3046.5272441869997,3078.9690028213986,421.983782854815,1639.8652815762964,18
E3,REDIS,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
E3,ZK,p99,1882.527538125555,1405.2991079599988,1824.9243594940176,5101.732104817999,5103.113558899599,975.0140044631025,2790.0410717880077,18
E3,ZK,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
E4,DB,error_rate,0.142318,0.142092,0.0011015275756875108,0.1433727,0.14348654,0.13958165380873566,0.14505434619126434,3
E4,DB,logical_ops,57.333333333333336,54.0,5.773502691896258,63.0,63.8,42.99115756767953,71.67550909898715,3
E4,DB,recovery_s,2.4466666666666668,2.43,0.03785938897200194,2.484,2.4888000000000003,2.3526187307786577,2.540714602554676,3
E4,DB,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E4,REDIS,error_rate,0.08591653333333334,0.0822864,0.008714989171154102,0.09450246,0.095588332,0.06426730007604196,0.10756576659062471,3
E4,REDIS,logical_ops,50.0,50.0,0.0,50.0,50.0,50.0,50.0,3
E4,REDIS,recovery_s,0.5733333333333334,0.04,0.9237604307034011,1.4799999999999998,1.6079999999999999,0.0,2.868081455837942,3
E4,REDIS,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E4,ZK,error_rate,0.026381733333333334,0.0269448,0.002514731010134749,0.02840496,0.028534752,0.020134795196227018,0.03262867147043965,3
E4,ZK,logical_ops,50.0,50.0,0.0,50.0,50.0,50.0,50.0,3
E4,ZK,recovery_s,0.9133333333333334,0.93,0.47521924764610834,1.335,1.371,0.0,2.093843387746021,3
E4,ZK,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E5,REDIS,lock_timeouts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E5,REDIS,logical_ops,40.0,40.0,0.0,40.0,40.0,40.0,40.0,3
E5,REDIS,premature_expirations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E5,REDIS,stale_locks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E5,REDIS,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E5,REDIS_TS,lock_timeouts,2.3333333333333335,3.0,1.1547005383792515,3.0,3.0,0.0,5.201768486464095,3
E5,REDIS_TS,logical_ops,70.33333333333333,70.0,6.506407098647712,76.3,76.86,54.17052209178279,86.49614457488386,3
E5,REDIS_TS,premature_expirations,168.0,163.0,8.660254037844387,176.5,177.7,146.48673635151928,189.51326364848072,3
E5,REDIS_TS,stale_locks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E5,REDIS_TS,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E5,ZK,lock_timeouts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E5,ZK,logical_ops,40.0,40.0,0.0,40.0,40.0,40.0,40.0,3
E5,ZK,premature_expirations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E5,ZK,stale_locks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E5,ZK,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E6,KAFKA,duplicates_suppressed,7572.333333333333,7564.0,905.5287589763968,8390.2,8463.64,5322.875194113467,9821.7914725532,3
E6,KAFKA,logical_ops,564.3333333333334,564.0,0.5773502691896257,564.9,564.98,562.899115756768,565.7675509098988,3
E6,KAFKA,redeliveries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E6,KAFKA,violation_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E7,DB,conflict_accuracy,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3
E7,DB,correct_conflict,2000.0,2000.0,0.0,2000.0,2000.0,2000.0,2000.0,3
E7,DB,first_applied,2000.0,2000.0,0.0,2000.0,2000.0,2000.0,2000.0,3
E7,DB,incorrect_replay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
E7,PAYLOAD_HASH,conflict_accuracy,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3
E7,PAYLOAD_HASH,correct_conflict,2000.0,2000.0,0.0,2000.0,2000.0,2000.0,2000.0,3
E7,PAYLOAD_HASH,first_applied,2000.0,2000.0,0.0,2000.0,2000.0,2000.0,2000.0,3
E7,PAYLOAD_HASH,incorrect_replay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
